Name,ANZ_Product_Code__c,IDR_Product_or_Service_Line__c,IDR_Product_or_Service_Category__c,IDR_Product_or_Service_Type__c,IsActive
ANZ Business Black,1,1,1,1,TRUE
ANZ Business 55 Days Interest Free,2,1,1,1,TRUE
ANZ Business Rewards Options,3,1,1,1,TRUE
ANZ Business Low Rate,4,1,1,1,TRUE
ANZ Visa Purchasing Card,5,1,1,1,TRUE
ANZ Virtual Card,6,1,1,1,TRUE
ANZ Travel Account,7,1,1,1,TRUE
ANZ Corporate Card,8,1,1,1,TRUE
AGRI Finance Loan,9,1,1,2,TRUE
ANZ Business Loan (ABL) for Personal Investment,10,1,1,2,TRUE
ANZ Business Loan (ABL),11,1,1,2,TRUE
ANZ Business Mortgage Loan (BML),12,1,1,2,TRUE
ANZ Business Saver Loan,13,1,1,2,TRUE
Investment Property Loan (GF),14,1,1,2,TRUE
Tailored Commercial Facility (TCF) - VARIABLE INT,15,1,1,3,TRUE
Tailored Commercial Facility (TCF) - RANGE INT,16,1,1,3,TRUE
Tailored Commercial Facility (TCF) - FIXED INT,17,1,1,3,TRUE
Tailored Commercial Facility (TCF) - FIX INT IN ADV,18,1,1,3,TRUE
Tailored Commercial Facility (TCF) - CAPPED INT,19,1,1,3,TRUE
Tailored Commercial Facility (TCF),20,1,1,3,TRUE
ANZ Tailored Business Facility,21,1,1,3,TRUE
Chattel Mortgage,22,1,1,4,TRUE
Finance Lease,23,1,1,4,TRUE
Novated Lease,24,1,1,4,TRUE
Luxury Asset Lease,25,1,1,4,TRUE
Offer to Hire,26,1,1,4,TRUE
ANZ Revolving AGRI Line overdraft,27,1,1,6,TRUE
Business Credit Facility,28,1,1,6,TRUE
Business Advantage Overdraft,29,1,1,6,TRUE
Agri Finance Offset Account,30,2,5,24,TRUE
ANZ Business Offset,31,2,5,24,TRUE
BML Offset Account - with Cheque Book,32,2,5,24,TRUE
ANZ First,33,1,2,9,TRUE
ANZ Platinum,34,1,2,9,TRUE
ANZ First (for Students),35,1,2,9,TRUE
ANZ Low Rate,36,1,2,9,TRUE
ANZ Rewards Black,37,1,2,9,TRUE
ANZ Rewards Travel Adventures,38,1,2,9,TRUE
ANZ Rewards Platinum,39,1,2,9,TRUE
ANZ Rewards,40,1,2,9,TRUE
ANZ Frequent Flyer,41,1,2,9,TRUE
ANZ Frequent Flyer Platinum,42,1,2,9,TRUE
ANZ Frequent Flyer Black,43,1,2,9,TRUE
Travel Money,44,1,2,9,TRUE
ANZ Travel Card (Multi Currency),45,6,20,139,TRUE
ANZ Breakfree Package,46,1,2,13,TRUE
ANZ Standard Variable Home Loan,47,1,2,13,TRUE
ANZ Fixed Home Loan,48,1,2,13,TRUE
ANZ Simplicity Plus Home Loan,49,1,2,13,TRUE
ANZ Equity Manager,50,1,2,16,TRUE
ANZ Assured,51,1,2,16,TRUE
ANZ Personal Overdraft,52,1,2,16,TRUE
ANZ Variable Rate Loan,53,1,2,18,TRUE
ANZ Fixed Rate Loan,54,1,2,18,TRUE
Cash Covered Facility Account,55,1,3,20,TRUE
Cash Cover Indemnity Guarantee,56,1,3,20,TRUE
Indemnity Guarantee Facility,57,1,3,20,TRUE
Business Classic Account,58,2,5,24,TRUE
GST Payment Account,59,2,5,24,TRUE
Business Extra 50 Account,60,2,5,24,TRUE
Business Extra Account,61,2,5,24,TRUE
Negotiator Account,62,2,5,24,TRUE
Business Premium Saver Account,63,2,5,24,TRUE
Negotiator Investor Account,64,2,5,24,TRUE
Statutory Trust Account,65,2,5,24,TRUE
Business Advantage Account,66,2,5,24,TRUE
Security Deposit Account,67,2,5,24,TRUE
Farm Management Deposit Account,68,2,5,24,TRUE
ANZ One Offset Account,69,2,5,26,TRUE
ANZ Access Select,70,2,5,28,TRUE
ANZ Everyday Visa Debit,71,2,5,28,TRUE
ANZ V2Plus (Retail),72,2,5,28,TRUE
ANZ First Home Saver,73,2,5,28,TRUE
ANZ Cash Management Account,74,2,5,28,TRUE
ANZ Passbook Pensioner Advantage,75,2,5,28,TRUE
ANZ Passbook Savings,76,2,5,28,TRUE
ANZ Access Advantage,77,2,5,28,TRUE
ANZ Pensioner Advantage,78,2,5,28,TRUE
ANZ Access Basic,79,2,5,28,TRUE
Staff Cheque Account,80,2,5,28,TRUE
Retired Officers Cheque Account,81,2,5,28,TRUE
Security Deposit,82,2,5,28,TRUE
ANZ Access Limited,83,2,5,28,TRUE
V2 Plus,84,2,5,28,TRUE
V2 Plus Broking,85,2,5,28,TRUE
V2 Plus including Margin Lending,86,2,5,28,TRUE
V2 Plus Intermediary,87,2,5,28,TRUE
Custodial Services,88,2,6,29,TRUE
ANZ Premium Cash Management Account,89,2,7,31,TRUE
ANZ Cash Investment Account,90,2,7,31,TRUE
Investor Cash Hub,91,2,7,31,TRUE
ANZ SMSF Cash Hub,92,2,7,31,TRUE
ANZ Cash Advantage,93,2,7,31,TRUE
Prime Cash Management Account,94,2,7,31,TRUE
Prime CMA - Pension,95,2,7,31,TRUE
ANZ Online Saver,97,2,7,33,TRUE
ANZ Progress Saver,98,2,7,33,TRUE
Business Online Saver Account,99,2,7,33,TRUE
ANZ Term Deposit,100,2,7,34,TRUE
ANZ Advance Notice Term Deposit,101,2,7,34,TRUE
OnePath Life Term Deposit,102,2,7,34,TRUE
ANZ Farm Management Deposit,103,2,7,34,TRUE
Seniors Term Deposit,104,2,7,34,TRUE
ANZ Business Notice Term Deposit,105,2,7,34,TRUE
ANZ Term Deposit via External Platforms & Oasis Wrap,106,2,7,34,TRUE
ANZ Credit Card Insurance,107,3,8,35,TRUE
ANZ Loan Protection Insurance,108,3,8,35,TRUE
ANZ Mortgage Protection Insurance,109,3,8,35,TRUE
ANZ Landlord Insurance,111,3,8,36,TRUE
ANZ Car Insurance (Comprehensive),112,3,8,38,TRUE
"ANZ Car Insurance (Third Party Property Damage, Fire and Theft)",113,3,8,39,TRUE
ANZ Car Insurance (Third Party Property Damage),114,3,8,40,TRUE
ANZ Travel Insurance,115,3,8,53,TRUE
ANZ Share Investment Loan,116,4,15,103,TRUE
White-Label ANZ Share Investing Service,117,4,15,103,TRUE
ANZ Accident Cover Plus,118,5,17,118,TRUE
ANZ Critical Illness Cover,119,5,17,118,TRUE
ANZ Income Cover,120,5,17,118,TRUE
ANZ Income Protection,121,5,17,118,TRUE
ANZ 50+ Life Cover,122,5,18,121,TRUE
ANZ Life Insurance,123,5,18,123,TRUE
ANZ Recover Well,124,5,18,124,TRUE
ANZ Credit Cover Plus,125,5,18,124,TRUE
ANZ Credit Cover,126,5,18,124,TRUE
ANZ Smart Choice Super for Employers and their Employees,127,8,24,154,TRUE
ANZ Smart Choice Pension,128,8,28,177,TRUE
ANZ Smart Choice Super,129,8,28,178,TRUE
ANZ Lenders Mortgage Insurance,130,3,8,35,TRUE
Asset Finance,131,1,1,4,TRUE
ANZ Low Rate Platinum,132,1,2,9,TRUE
ANZ Fixed Investment Property Loan,133,1,2,15,TRUE
ANZ Simplicity Plus Investment Property Loan,134,1,2,15,TRUE
ANZ Standard Variable Investment Property Loan,135,1,2,15,TRUE
